genus	class	phylum
Methylocucumis	Gammaproteobacteria	Pseudomonadota
Thalassobaculum	Alphaproteobacteria	Pseudomonadota
Pokkaliibacter	Gammaproteobacteria	Pseudomonadota
Mycoplana	Alphaproteobacteria	Pseudomonadota
Limnoraphis	Cyanophyceae	Cyanobacteriota
Cytobacillus	Bacilli	Bacillota
Anabaena	Cyanophyceae	Cyanobacteriota
Aliiroseovarius	Alphaproteobacteria	Pseudomonadota
Longimicrobium	Longimicrobiia	Gemmatimonadota
Lysinibacter	Actinomycetes	Actinomycetota
Williamwhitmania	Bacteroidia	Bacteroidota
Sinobacterium	Gammaproteobacteria	Pseudomonadota
Beijerinckia	Alphaproteobacteria	Pseudomonadota
Granulicella	Terriglobia	Acidobacteriota
Phytoactinopolyspora	Actinomycetes	Actinomycetota
Kryptobacter	NA	Candidatus Kryptonia
NA	Coriobacteriia	Actinomycetota
Ammoniphilus	Bacilli	Bacillota
NA	Ignavibacteria	Ignavibacteriota
Renibacterium	Actinomycetes	Actinomycetota
Pseudovibrio	Alphaproteobacteria	Pseudomonadota
Erysipelothrix	Erysipelotrichia	Bacillota
Gimesia	Planctomycetia	Planctomycetota
Shouchella	Bacilli	Bacillota
Desnuesiella	Clostridia	Bacillota
Neptunochlamydia	Chlamydiia	Chlamydiota
Segatella	Bacteroidia	Bacteroidota
Halobacteriovorax	Bacteriovoracia	Bdellovibrionota
Lentzea	Actinomycetes	Actinomycetota
Alloactinosynnema	Actinomycetes	Actinomycetota
Blattabacterium	Flavobacteriia	Bacteroidota
Thiospirillum	Gammaproteobacteria	Pseudomonadota
Umezawaea	Actinomycetes	Actinomycetota
Thiodiazotropha	Gammaproteobacteria	Pseudomonadota
Serinibacter	Actinomycetes	Actinomycetota
Rubritalea	Verrucomicrobiae	Verrucomicrobiota
Leekyejoonella	Actinomycetes	Actinomycetota
Kordiimonas	Alphaproteobacteria	Pseudomonadota
Caminicella	Clostridia	Bacillota
NA	NA	Chloroflexota
NA	NA	Nitrospirota
NA	Deltaproteobacteria	NA
Nitratireductor	Alphaproteobacteria	Pseudomonadota
Aquibium	Alphaproteobacteria	Pseudomonadota
Egicoccus	Nitriliruptoria	Actinomycetota
Egibacter	Nitriliruptoria	Actinomycetota
Acidiphilium	Alphaproteobacteria	Pseudomonadota
Xaviernesmea	Alphaproteobacteria	Pseudomonadota
Maliponia	Alphaproteobacteria	Pseudomonadota
Murdochiella	Tissierellia	Bacillota
Sulfurifustis	Gammaproteobacteria	Pseudomonadota
Wenzhouxiangella	Gammaproteobacteria	Pseudomonadota
Propionivibrio	Betaproteobacteria	Pseudomonadota
Propionispora	Negativicutes	Bacillota
Cypionkella	Alphaproteobacteria	Pseudomonadota
Lentimicrobium	Bacteroidia	Bacteroidota
Candidatus Methylopumilus	Betaproteobacteria	Pseudomonadota
Akkermansia	Verrucomicrobiae	Verrucomicrobiota
Ventosimonas	Gammaproteobacteria	Pseudomonadota
Ferrigenium	Betaproteobacteria	Pseudomonadota
Zafaria	Actinomycetes	Actinomycetota
Chthonobacter	Alphaproteobacteria	Pseudomonadota
Laribacter	Betaproteobacteria	Pseudomonadota
Thiomicrospira	Gammaproteobacteria	Pseudomonadota
Kallipyga	Tissierellia	Bacillota
Sneathia	Fusobacteriia	Fusobacteriota
Gorillibacterium	Bacilli	Bacillota
Vitreoscilla	Betaproteobacteria	Pseudomonadota
Allopontixanthobacter	Alphaproteobacteria	Pseudomonadota
Citricoccus	Actinomycetes	Actinomycetota
Anaerotruncus	Clostridia	Bacillota
Finniella	Alphaproteobacteria	Pseudomonadota
Marivivens	Alphaproteobacteria	Pseudomonadota
Negativicoccus	Negativicutes	Bacillota
Niastella	Chitinophagia	Bacteroidota
Lysinibacillus	Bacilli	Bacillota
Limnothrix	Cyanophyceae	Cyanobacteriota
Sulfurirhabdus	Betaproteobacteria	Pseudomonadota
Mongoliimonas	Alphaproteobacteria	Pseudomonadota
Pyruvatibacter	Alphaproteobacteria	Pseudomonadota
Butyricicoccus	Clostridia	Bacillota
Cognatishimia	Alphaproteobacteria	Pseudomonadota
Pseudodesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Cobetia	Gammaproteobacteria	Pseudomonadota
Labilibaculum	Bacteroidia	Bacteroidota
Dehalococcoides	Dehalococcoidia	Chloroflexota
Urinicoccus	Tissierellia	Bacillota
Dendronalium	Cyanophyceae	Cyanobacteriota
Meiothermus	Deinococci	Deinococcota
Victivallis	Lentisphaeria	Lentisphaerota
Gulosibacter	Actinomycetes	Actinomycetota
Eubacterium	Clostridia	Bacillota
Bdellovibrio	Bdellovibrionia	Bdellovibrionota
Serpentinicella	Clostridia	Bacillota
Oryzomicrobium	Betaproteobacteria	Pseudomonadota
Xylophilus	Betaproteobacteria	Pseudomonadota
Duganella	Betaproteobacteria	Pseudomonadota
Pseudorhodoferax	Betaproteobacteria	Pseudomonadota
Ramlibacter	Betaproteobacteria	Pseudomonadota
Agromyces	Actinomycetes	Actinomycetota
Frateuria	Gammaproteobacteria	Pseudomonadota
Phycicoccus	Actinomycetes	Actinomycetota
Microcella	Actinomycetes	Actinomycetota
Terrabacter	Actinomycetes	Actinomycetota
Pseudolabrys	Alphaproteobacteria	Pseudomonadota
Pseudohalioglobus	Gammaproteobacteria	Pseudomonadota
Filimonas	Chitinophagia	Bacteroidota
NA	Tissierellia	Bacillota
Kandeliimicrobium	Alphaproteobacteria	Pseudomonadota
Labrys	Alphaproteobacteria	Pseudomonadota
NA	NA	Candidatus Omnitrophota
NA	NA	Candidatus Aminicenantes
Polynucleobacter	Betaproteobacteria	Pseudomonadota
NA	Chlamydiia	Chlamydiota
Frankia	Actinomycetes	Actinomycetota
Kuenenia	Candidatus Brocadiia	Planctomycetota
Cutibacterium	Actinomycetes	Actinomycetota
Acidisoma	Alphaproteobacteria	Pseudomonadota
Acidipropionibacterium	Actinomycetes	Actinomycetota
Tenderia	Gammaproteobacteria	Pseudomonadota
Arachnia	Actinomycetes	Actinomycetota
Inmirania	Gammaproteobacteria	Pseudomonadota
Dissulfurimicrobium	Deltaproteobacteria	NA
Fluviibacter	Betaproteobacteria	Pseudomonadota
Mangrovihabitans	Actinomycetes	Actinomycetota
Solirubrum	Cytophagia	Bacteroidota
Lentibacillus	Bacilli	Bacillota
Virgisporangium	Actinomycetes	Actinomycetota
Thermotoga	Thermotogae	Thermotogota
Elizabethkingia	Flavobacteriia	Bacteroidota
Candidatus Viadribacter	Alphaproteobacteria	Pseudomonadota
Methylomagnum	Gammaproteobacteria	Pseudomonadota
Candidatus Formimonas	Clostridia	Bacillota
Prevotella	Bacteroidia	Bacteroidota
Thermus	Deinococci	Deinococcota
Lachnotalea	Clostridia	Bacillota
Saccharibacillus	Bacilli	Bacillota
Hankyongella	Alphaproteobacteria	Pseudomonadota
Acaryochloris	Cyanophyceae	Cyanobacteriota
Ferroacidibacillus	Bacilli	Bacillota
Dissulfurirhabdus	Deltaproteobacteria	NA
Actinophytocola	Actinomycetes	Actinomycetota
Tritonibacter	Alphaproteobacteria	Pseudomonadota
Chitinasiproducens	Betaproteobacteria	Pseudomonadota
Larkinella	Cytophagia	Bacteroidota
Varunaivibrio	Alphaproteobacteria	Pseudomonadota
Desulforapulum	Desulfobacteria	Thermodesulfobacteriota
Psychromarinibacter	Alphaproteobacteria	Pseudomonadota
Jiella	Alphaproteobacteria	Pseudomonadota
Coralloluteibacterium	Gammaproteobacteria	Pseudomonadota
Arsenicitalea	Alphaproteobacteria	Pseudomonadota
Marinomonas	Gammaproteobacteria	Pseudomonadota
Aurantiacibacter	Alphaproteobacteria	Pseudomonadota
Pararhodobacter	Alphaproteobacteria	Pseudomonadota
Leptospirillum	Nitrospiria	Nitrospirota
Carboxydocella	Clostridia	Bacillota
Petroclostridium	Clostridia	Bacillota
Pararobbsia	Betaproteobacteria	Pseudomonadota
Marinicella	Gammaproteobacteria	Pseudomonadota
Oscillatoria	Cyanophyceae	Cyanobacteriota
Oxalicibacterium	Betaproteobacteria	Pseudomonadota
Flexivirga	Actinomycetes	Actinomycetota
Thermodesulfatator	Thermodesulfobacteria	Thermodesulfobacteriota
Alicycliphilus	Betaproteobacteria	Pseudomonadota
Cuneatibacter	Clostridia	Bacillota
Ereboglobus	Opitutae	Verrucomicrobiota
Sarcina	Clostridia	Bacillota
Giesbergeria	Betaproteobacteria	Pseudomonadota
Robinsoniella	Clostridia	Bacillota
Steroidobacter	Gammaproteobacteria	Pseudomonadota
Ruficoccus	Opitutae	Verrucomicrobiota
Nesterenkonia	Actinomycetes	Actinomycetota
Candidatus Promineifilum	Ardenticatenia	Chloroflexota
Natronospira	Gammaproteobacteria	Pseudomonadota
Altericroceibacterium	Alphaproteobacteria	Pseudomonadota
Methylospira	Gammaproteobacteria	Pseudomonadota
Immundisolibacter	Gammaproteobacteria	Pseudomonadota
Sulfuriflexus	Gammaproteobacteria	Pseudomonadota
Jeotgalicoccus	Bacilli	Bacillota
Peteryoungia	Alphaproteobacteria	Pseudomonadota
Panacibacter	Chitinophagia	Bacteroidota
Sutterella	Betaproteobacteria	Pseudomonadota
Shinella	Alphaproteobacteria	Pseudomonadota
Sporotomaculum	Clostridia	Bacillota
Thermogemmatispora	Ktedonobacteria	Chloroflexota
Novimethylophilus	Betaproteobacteria	Pseudomonadota
Marithrix	Gammaproteobacteria	Pseudomonadota
Ochrobactrum	Alphaproteobacteria	Pseudomonadota
Dolichospermum	Cyanophyceae	Cyanobacteriota
Oculatella	Cyanophyceae	Cyanobacteriota
Tychonema	Cyanophyceae	Cyanobacteriota
Desmonostoc	Cyanophyceae	Cyanobacteriota
Roholtiella	Cyanophyceae	Cyanobacteriota
Zarconia	Cyanophyceae	Cyanobacteriota
Pseudofrankia	Actinomycetes	Actinomycetota
Macromonas	Betaproteobacteria	Pseudomonadota
NA	Deinococci	Deinococcota
Desulfotomaculum	Clostridia	Bacillota
Lacunisphaera	Opitutae	Verrucomicrobiota
Rappaport	Gammaproteobacteria	Pseudomonadota
Planctopirus	Planctomycetia	Planctomycetota
Agrococcus	Actinomycetes	Actinomycetota
Mediterranea	Bacteroidia	Bacteroidota
Pelobium	Sphingobacteriia	Bacteroidota
NA	Negativicutes	Bacillota
Allomuricauda	Flavobacteriia	Bacteroidota
NA	NA	Actinomycetota
Jannaschia	Alphaproteobacteria	Pseudomonadota
Paeniclostridium	Clostridia	Bacillota
Pseudaminobacter	Alphaproteobacteria	Pseudomonadota
Limihaloglobus	Phycisphaerae	Planctomycetota
Christensenella	Clostridia	Bacillota
Scandinavium	Gammaproteobacteria	Pseudomonadota
Orrella	Betaproteobacteria	Pseudomonadota
Rhodophyticola	Alphaproteobacteria	Pseudomonadota
Parahaliea	Gammaproteobacteria	Pseudomonadota
Roseitalea	Alphaproteobacteria	Pseudomonadota
Raoultibacter	Coriobacteriia	Actinomycetota
Duodenibacillus	Betaproteobacteria	Pseudomonadota
Perlucidibaca	Gammaproteobacteria	Pseudomonadota
Salinibius	Gammaproteobacteria	Pseudomonadota
NA	Rhodothermia	Rhodothermota
NA	Cytophagia	Bacteroidota
Trichormus	Cyanophyceae	Cyanobacteriota
Nitrosovibrio	Betaproteobacteria	Pseudomonadota
Faunimonas	Alphaproteobacteria	Pseudomonadota
Luteitalea	Vicinamibacteria	Acidobacteriota
Haoranjiania	Chitinophagia	Bacteroidota
Alteromonas	Gammaproteobacteria	Pseudomonadota
Haemophilus	Gammaproteobacteria	Pseudomonadota
Candidatus Accumulibacter	Betaproteobacteria	Pseudomonadota
Halothiobacillus	Gammaproteobacteria	Pseudomonadota
Rubrivivax	Betaproteobacteria	Pseudomonadota
Dermatophilus	Actinomycetes	Actinomycetota
Aliidongia	Alphaproteobacteria	Pseudomonadota
Humibacillus	Actinomycetes	Actinomycetota
NA	Chitinophagia	Bacteroidota
Angelakisella	Clostridia	Bacillota
Allorhizocola	Actinomycetes	Actinomycetota
Herbihabitans	Actinomycetes	Actinomycetota
Alkalilimnicola	Gammaproteobacteria	Pseudomonadota
Rhodoplanes	Alphaproteobacteria	Pseudomonadota
Thalassolituus	Gammaproteobacteria	Pseudomonadota
Notoacmeibacter	Alphaproteobacteria	Pseudomonadota
Quadrisphaera	Actinomycetes	Actinomycetota
Singulisphaera	Planctomycetia	Planctomycetota
Thermoactinomyces	Bacilli	Bacillota
Salibacterium	Bacilli	Bacillota
Pseudoflavitalea	Chitinophagia	Bacteroidota
Planktophila	Actinomycetes	Actinomycetota
Nanopelagicus	Actinomycetes	Actinomycetota
Parvibium	Betaproteobacteria	Pseudomonadota
Epidermidibacterium	Actinomycetes	Actinomycetota
Roseobacter	Alphaproteobacteria	Pseudomonadota
Neptunicoccus	Alphaproteobacteria	Pseudomonadota
Solihabitans	Actinomycetes	Actinomycetota
Allostreptomyces	Actinomycetes	Actinomycetota
Dorea	Clostridia	Bacillota
Fibrobacter	Fibrobacteria	Fibrobacterota
Desulfocucumis	Clostridia	Bacillota
Plantibacter	Actinomycetes	Actinomycetota
Tumebacillus	Bacilli	Bacillota
Oceanicoccus	Gammaproteobacteria	Pseudomonadota
Ruthenibacterium	Clostridia	Bacillota
Parageobacillus	Bacilli	Bacillota
Rodentibacter	Gammaproteobacteria	Pseudomonadota
Salinivibrio	Gammaproteobacteria	Pseudomonadota
Fimbriiglobus	Planctomycetia	Planctomycetota
Confluentibacter	Flavobacteriia	Bacteroidota
Oceanibaculum	Alphaproteobacteria	Pseudomonadota
Mangrovicoccus	Alphaproteobacteria	Pseudomonadota
Candidatus Thiodiazotropha	Gammaproteobacteria	Pseudomonadota
Christiangramia	Flavobacteriia	Bacteroidota
Pelotomaculum	Clostridia	Bacillota
Sulfuritortus	Betaproteobacteria	Pseudomonadota
Paracandidimonas	Betaproteobacteria	Pseudomonadota
Ketobacter	Gammaproteobacteria	Pseudomonadota
Chlorobium	Chlorobiia	Chlorobiota
Marinilactibacillus	Bacilli	Bacillota
Tibeticola	Betaproteobacteria	Pseudomonadota
Indiicoccus	Bacilli	Bacillota
Muribaculum	Bacteroidia	Bacteroidota
Chthoniobacter	Spartobacteria	Verrucomicrobiota
Methylotetracoccus	Gammaproteobacteria	Pseudomonadota
Archangium	Myxococcia	Myxococcota
Tardibacter	Alphaproteobacteria	Pseudomonadota
Hydrococcus	Cyanophyceae	Cyanobacteriota
Tateyamaria	Alphaproteobacteria	Pseudomonadota
Anderseniella	Alphaproteobacteria	Pseudomonadota
Anaeromassilibacillus	Clostridia	Bacillota
Sediminibacillus	Bacilli	Bacillota
Paenacidovorax	Betaproteobacteria	Pseudomonadota
Kriegella	Flavobacteriia	Bacteroidota
Adhaeretor	Planctomycetia	Planctomycetota
Rosistilla	Planctomycetia	Planctomycetota
Velamenicoccus	NA	Candidatus Omnitrophota
Marinitenerispora	Actinomycetes	Actinomycetota
Gandjariella	Actinomycetes	Actinomycetota
Streptoalloteichus	Actinomycetes	Actinomycetota
Anaerohalosphaera	Phycisphaerae	Planctomycetota
Dictyobacter	Ktedonobacteria	Chloroflexota
NA	Saprospiria	Bacteroidota
Posidoniimonas	Planctomycetia	Planctomycetota
Thalassoglobus	Planctomycetia	Planctomycetota
Rhodosalinus	Alphaproteobacteria	Pseudomonadota
Sedimentisphaera	Phycisphaerae	Planctomycetota
Alysiella	Betaproteobacteria	Pseudomonadota
Marasmitruncus	Clostridia	Bacillota
Arsenicicoccus	Actinomycetes	Actinomycetota
NA	Terriglobia	Acidobacteriota
Telluribacter	Cytophagia	Bacteroidota
NA	Desulfovibrionia	Thermodesulfobacteriota
Campylobacter	Epsilonproteobacteria	Campylobacterota
Haematobacter	Alphaproteobacteria	Pseudomonadota
Blautia	Clostridia	Bacillota
Pacificimonas	Alphaproteobacteria	Pseudomonadota
Kineosporia	Actinomycetes	Actinomycetota
Dehalobacter	Clostridia	Bacillota
Brucella	Alphaproteobacteria	Pseudomonadota
Arboricoccus	Alphaproteobacteria	Pseudomonadota
Parerythrobacter	Alphaproteobacteria	Pseudomonadota
Saezia	Betaproteobacteria	Pseudomonadota
Tuberibacillus	Bacilli	Bacillota
Anaerofilum	Clostridia	Bacillota
Flavonifractor	Clostridia	Bacillota
Pseudoflavonifractor	Clostridia	Bacillota
Albidovulum	Alphaproteobacteria	Pseudomonadota
Leptothoe	Cyanophyceae	Cyanobacteriota
Psychrobacter	Gammaproteobacteria	Pseudomonadota
Acidibrevibacterium	Alphaproteobacteria	Pseudomonadota
Ancylomarina	Bacteroidia	Bacteroidota
Sulfurivermis	Gammaproteobacteria	Pseudomonadota
Candidatus Aquicultor	Candidatus Aquicultoria	Actinomycetota
Chroococcus	Cyanophyceae	Cyanobacteriota
Terasakiispira	Gammaproteobacteria	Pseudomonadota
Aquidulcibacter	Alphaproteobacteria	Pseudomonadota
Rhodovarius	Alphaproteobacteria	Pseudomonadota
Denitratisoma	Betaproteobacteria	Pseudomonadota
Tsuneonella	Alphaproteobacteria	Pseudomonadota
Mangrovitalea	Gammaproteobacteria	Pseudomonadota
Zhengella	Alphaproteobacteria	Pseudomonadota
Brevefilum	Anaerolineae	Chloroflexota
Massiliimalia	Clostridia	Bacillota
Microtetraspora	Actinomycetes	Actinomycetota
Methylocella	Alphaproteobacteria	Pseudomonadota
NA	NA	Candidatus Latescibacteria
Parolsenella	Coriobacteriia	Actinomycetota
Cloacibacterium	Flavobacteriia	Bacteroidota
Sulfoacidibacillus	Bacilli	Bacillota
Cylindrospermum	Cyanophyceae	Cyanobacteriota
Tolypothrix	Cyanophyceae	Cyanobacteriota
Thermostichus	Cyanophyceae	Cyanobacteriota
NA	Flavobacteriia	Bacteroidota
Avrilella	Flavobacteriia	Bacteroidota
Nitratidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
NA	NA	Thermodesulfobacteriota
Alkalicoccus	Bacilli	Bacillota
Aquipluma	Bacteroidia	Bacteroidota
Aerosticca	Gammaproteobacteria	Pseudomonadota
Desulfobacterium	Desulfobacteria	Thermodesulfobacteriota
Siccirubricoccus	Alphaproteobacteria	Pseudomonadota
Agaribacterium	Gammaproteobacteria	Pseudomonadota
Roseisolibacter	Gemmatimonadetes	Gemmatimonadota
Massilicoli	Erysipelotrichia	Bacillota
Trichothermofontia	Cyanophyceae	Cyanobacteriota
Leptothermofonsia	Cyanophyceae	Cyanobacteriota
Enemella	Actinomycetes	Actinomycetota
Nitrogeniibacter	Betaproteobacteria	Pseudomonadota
Thalassococcus	Alphaproteobacteria	Pseudomonadota
Vallotia	Betaproteobacteria	Pseudomonadota
Marinisporobacter	Clostridia	Bacillota
Planifilum	Bacilli	Bacillota
Tetzosporium	Bacilli	Bacillota
Ahniella	Gammaproteobacteria	Pseudomonadota
Novacetimonas	Alphaproteobacteria	Pseudomonadota
Elstera	Alphaproteobacteria	Pseudomonadota
Winogradskyella	Flavobacteriia	Bacteroidota
Glutamicibacter	Actinomycetes	Actinomycetota
Alkalispirochaeta	Spirochaetia	Spirochaetota
NA	Bacteriovoracia	Bdellovibrionota
Chengkuizengella	Bacilli	Bacillota
Neopusillimonas	Betaproteobacteria	Pseudomonadota
Petropleomorpha	Actinomycetes	Actinomycetota
Parasphingopyxis	Alphaproteobacteria	Pseudomonadota
NA	NA	Candidatus Campbellbacteria
NA	NA	Candidatus Saccharibacteria
NA	Myxococcia	Myxococcota
NA	Phycisphaerae	Planctomycetota
NA	NA	Candidatus Woesebacteria
Rubricella	Alphaproteobacteria	Pseudomonadota
Pollutimonas	Betaproteobacteria	Pseudomonadota
Vandammella	Betaproteobacteria	Pseudomonadota
Stenotrophobium	Gammaproteobacteria	Pseudomonadota
Pseudotabrizicola	Alphaproteobacteria	Pseudomonadota
NA	NA	Candidatus Kaiserbacteria
NA	NA	Candidatus Peregrinibacteria
Halovibrio	Gammaproteobacteria	Pseudomonadota
Methylomirabilis	NA	candidate division NC10
Longispora	Actinomycetes	Actinomycetota
Guyparkeria	Gammaproteobacteria	Pseudomonadota
Pontibacterium	Gammaproteobacteria	Pseudomonadota
NA	Mollicutes	Mycoplasmatota
Marivibrio	Alphaproteobacteria	Pseudomonadota
Allobranchiibius	Actinomycetes	Actinomycetota
Caldovatus	Alphaproteobacteria	Pseudomonadota
Neobittarella	Clostridia	Bacillota
Schaedlerella	Clostridia	Bacillota
NA	Sphingobacteriia	Bacteroidota
Pimelobacter	Actinomycetes	Actinomycetota
Salipaludibacillus	Bacilli	Bacillota
NA	NA	Candidatus Moranbacteria
Dongshaea	Gammaproteobacteria	Pseudomonadota
Mogibacterium	Clostridia	Bacillota
NA	Anaerolineae	Chloroflexota
NA	NA	Candidatus Nomurabacteria
NA	NA	Fibrobacterota
Aquiluna	Actinomycetes	Actinomycetota
NA	NA	Candidatus Uhrbacteria
Minwuia	Alphaproteobacteria	Pseudomonadota
Acidimangrovimonas	Alphaproteobacteria	Pseudomonadota
Phycocomes	Alphaproteobacteria	Pseudomonadota
Sphaerobacter	Thermomicrobia	Thermomicrobiota
Lacinutrix	Flavobacteriia	Bacteroidota
Marinicaulis	Alphaproteobacteria	Pseudomonadota
Rummeliibacillus	Bacilli	Bacillota
Moritella	Gammaproteobacteria	Pseudomonadota
Pseudochryseolinea	Cytophagia	Bacteroidota
Salinibacterium	Actinomycetes	Actinomycetota
Zobellella	Gammaproteobacteria	Pseudomonadota
Chimaeribacter	Gammaproteobacteria	Pseudomonadota
Pradoshia	Bacilli	Bacillota
Desertimonas	Acidimicrobiia	Actinomycetota
Kerstersia	Betaproteobacteria	Pseudomonadota
Hydrogenovibrio	Gammaproteobacteria	Pseudomonadota
Aquella	Betaproteobacteria	Pseudomonadota
Pseudazoarcus	Betaproteobacteria	Pseudomonadota
Novisyntrophococcus	Clostridia	Bacillota
Tamlana	Flavobacteriia	Bacteroidota
Enteroscipio	Coriobacteriia	Actinomycetota
Meridianimarinicoccus	Alphaproteobacteria	Pseudomonadota
Adhaeribacter	Cytophagia	Bacteroidota
Actinotalea	Actinomycetes	Actinomycetota
Flavipsychrobacter	Chitinophagia	Bacteroidota
Actinocorallia	Actinomycetes	Actinomycetota
Rhodohalobacter	Balneolia	Balneolota
Tautonia	Planctomycetia	Planctomycetota
Phytohalomonas	Gammaproteobacteria	Pseudomonadota
Pseudalkalibacillus	Bacilli	Bacillota
Parabacteroides	Bacteroidia	Bacteroidota
Maliibacterium	Clostridia	Bacillota
Amnimonas	Gammaproteobacteria	Pseudomonadota
Solimicrobium	Betaproteobacteria	Pseudomonadota
Rhabdochlamydia	Chlamydiia	Chlamydiota
Brumimicrobium	Flavobacteriia	Bacteroidota
Chlorogloea	Cyanophyceae	Cyanobacteriota
Aphanothece	Cyanophyceae	Cyanobacteriota
Stenomitos	Cyanophyceae	Cyanobacteriota
Tepiditoga	Thermotogae	Thermotogota
Pulveribacter	Betaproteobacteria	Pseudomonadota
Nissabacter	Gammaproteobacteria	Pseudomonadota
Peterkaempfera	Actinomycetes	Actinomycetota
Rugamonas	Betaproteobacteria	Pseudomonadota
Geothermobacter	Desulfuromonadia	Thermodesulfobacteriota
NA	Desulfuromonadia	Thermodesulfobacteriota
NA	Syntrophobacteria	Thermodesulfobacteriota
NA	Bdellovibrionia	Bdellovibrionota
Pseudothauera	Betaproteobacteria	Pseudomonadota
Oceaniglobus	Alphaproteobacteria	Pseudomonadota
Thermoflavimicrobium	Bacilli	Bacillota
Ellagibacter	Coriobacteriia	Actinomycetota
Vitiosangium	Myxococcia	Myxococcota
Enhygromyxa	Myxococcia	Myxococcota
Hyphobacterium	Alphaproteobacteria	Pseudomonadota
Algihabitans	Alphaproteobacteria	Pseudomonadota
Faecalibacterium	Clostridia	Bacillota
Pelagivirga	Alphaproteobacteria	Pseudomonadota
Thalassorhabdomicrobium	Alphaproteobacteria	Pseudomonadota
Stella	Alphaproteobacteria	Pseudomonadota
Arcicella	Cytophagia	Bacteroidota
Oleisolibacter	Alphaproteobacteria	Pseudomonadota
Brocadia	Candidatus Brocadiia	Planctomycetota
Pararcticibacter	Sphingobacteriia	Bacteroidota
Albibacillus	Alphaproteobacteria	Pseudomonadota
Coraliomargarita	Opitutae	Verrucomicrobiota
Fulvimarina	Alphaproteobacteria	Pseudomonadota
Ancrocorticia	Actinomycetes	Actinomycetota
Garciella	Clostridia	Bacillota
Nitrotoga	Betaproteobacteria	Pseudomonadota
Abyssibacter	Gammaproteobacteria	Pseudomonadota
Oceaniradius	Alphaproteobacteria	Pseudomonadota
NA	Gemmatimonadetes	Gemmatimonadota
Litorivita	Alphaproteobacteria	Pseudomonadota
Falsochrobactrum	Alphaproteobacteria	Pseudomonadota
Isoalcanivorax	Gammaproteobacteria	Pseudomonadota
Sulfuricystis	Betaproteobacteria	Pseudomonadota
Sedimentitalea	Alphaproteobacteria	Pseudomonadota
Acidisarcina	Terriglobia	Acidobacteriota
Algibacter	Flavobacteriia	Bacteroidota
Homoserinimonas	Actinomycetes	Actinomycetota
Candidatus Competibacter	Gammaproteobacteria	Pseudomonadota
Mastigocladopsis	Cyanophyceae	Cyanobacteriota
Putridiphycobacter	Flavobacteriia	Bacteroidota
Indioceanicola	Alphaproteobacteria	Pseudomonadota
Parafrankia	Actinomycetes	Actinomycetota
Roseicella	Alphaproteobacteria	Pseudomonadota
Brasilonema	Cyanophyceae	Cyanobacteriota
Methylorubrum	Alphaproteobacteria	Pseudomonadota
Pyxidicoccus	Myxococcia	Myxococcota
Lewinella	Saprospiria	Bacteroidota
Leeuwenhoekiella	Flavobacteriia	Bacteroidota
Sumerlaea	Candidatus Sumerlaeia	Candidatus Sumerlaeota
NA	Acidithiobacillia	Pseudomonadota
Pseudogemmobacter	Alphaproteobacteria	Pseudomonadota
Enhydrobacter	Alphaproteobacteria	Pseudomonadota
Aestuariibacter	Gammaproteobacteria	Pseudomonadota
Ephemeroptericola	Betaproteobacteria	Pseudomonadota
Dongia	Alphaproteobacteria	Pseudomonadota
NA	NA	Chlorobiota
Desertihabitans	Actinomycetes	Actinomycetota
Paracnuella	Chitinophagia	Bacteroidota
Ulvibacter	Flavobacteriia	Bacteroidota
NA	NA	Candidatus Roizmanbacteria
Leclercia	Gammaproteobacteria	Pseudomonadota
Aquirhabdus	Gammaproteobacteria	Pseudomonadota
Saccharophagus	Gammaproteobacteria	Pseudomonadota
Maribacter	Flavobacteriia	Bacteroidota
Cryosericum	Candidatus Cryosericia	Candidatus Cryosericota
Trinickia	Betaproteobacteria	Pseudomonadota
Gallaecimonas	Gammaproteobacteria	Pseudomonadota
Deminuibacter	Chitinophagia	Bacteroidota
Undibacter	Alphaproteobacteria	Pseudomonadota
Roseburia	Clostridia	Bacillota
Methylovirgula	Alphaproteobacteria	Pseudomonadota
Candidatus Jettenia	Candidatus Brocadiia	Planctomycetota
Anaerolinea	Anaerolineae	Chloroflexota
Leptolinea	Anaerolineae	Chloroflexota
Levilinea	Anaerolineae	Chloroflexota
Thermoleptolyngbya	Cyanophyceae	Cyanobacteriota
Paracidobacterium	Terriglobia	Acidobacteriota
Enterorhabdus	Coriobacteriia	Actinomycetota
Breoghania	Alphaproteobacteria	Pseudomonadota
Antribacter	Actinomycetes	Actinomycetota
Reinekea	Gammaproteobacteria	Pseudomonadota
Acidipila	Terriglobia	Acidobacteriota
Longirhabdus	Bacilli	Bacillota
Macondimonas	Gammaproteobacteria	Pseudomonadota
Maribellus	Bacteroidia	Bacteroidota
Fibrisoma	Cytophagia	Bacteroidota
Pelagerythrobacter	Alphaproteobacteria	Pseudomonadota
Galacturonibacter	Clostridia	Bacillota
Desulfoluna	Desulfobacteria	Thermodesulfobacteriota
Paraflavitalea	Chitinophagia	Bacteroidota
Mediterraneibacter	Clostridia	Bacillota
Lichenibacterium	Alphaproteobacteria	Pseudomonadota
Acutalibacter	Clostridia	Bacillota
Oleomonas	Alphaproteobacteria	Pseudomonadota
Chryseolinea	Cytophagia	Bacteroidota
